Set of ThermodynamicInformation structures: 41
BensonThermodynamicBase(R30C3H7O2P):        H298:0.07797124558446308        S298:0.002239675660613377        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.008709441102104202, 300.0]        [-0.02500731572225215, 400.0]        [-0.03193963903610334, 500.0]        [-0.03597892089355704, 600.0]        [-0.043337714553888684, 800.0]        [-0.04806312145535835, 1000.0]        [-0.04860415788413459, 1500.0]
BensonThermodynamicBase(R10C2H3V):        H298:0.0748583307521139        S298:0.011581199874349251        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.028751627810764725, 300.0]        [-0.058228364943684045, 400.0]        [-0.07356372911853258, 500.0]        [-0.08262410825254388, 600.0]        [-0.0926204269400854, 800.0]        [-0.09424472576834994, 1000.0]        [-0.0811858826656263, 1500.0]
BensonThermodynamicBase(R23C2H3O2B):        H298:-0.06355493157420097        S298:-0.014138738916816884        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.0070418365090268754, 300.0]        [-0.014289340784624236, 400.0]        [-0.014860575091937597, 500.0]        [-0.014697008365285162, 600.0]        [-0.019287379200488137, 800.0]        [-0.026683747415575235, 1000.0]        [-0.030319622227835238, 1500.0]
BensonThermodynamicBase(R16C2H4OOH):        H298:0.0432230837999959        S298:0.012179673769673958        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.002116876622550218, 300.0]        [-0.01005354383401692, 400.0]        [-0.016321580888683584, 500.0]        [-0.020952240741013435, 600.0]        [-0.030426689122519758, 800.0]        [-0.03722534147852212, 1000.0]        [-0.037372075918688026, 1500.0]
BensonThermodynamicBase(R37C4H9O2P):        H298:-0.041868454302110926        S298:0.01092230342936197        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.0014114128612528491, 300.0]        [-0.01021928009623876, 400.0]        [-0.011443033855255039, 500.0]        [-0.011732851898629687, 600.0]        [-0.01657820566567378, 800.0]        [-0.020575346996255697, 1000.0]        [-0.011769637885433669, 1500.0]
BensonThermodynamicBase(R21CH3OCO):        H298:0.03144055681594862        S298:-0.01898145777218858        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.00759368966786946, 300.0]        [-0.03077421765727329, 400.0]        [-0.04702356046887626, 500.0]        [-0.054008894652949516, 600.0]        [-0.05912193574684961, 800.0]        [-0.0460707291953066, 1000.0]        [-0.03462749252360125, 1500.0]
BensonThermodynamicBase(R36C4H9O2P):        H298:-0.03086888277015287        S298:-7.827958986630413E-4        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.007583649862252409, 300.0]        [-0.02264223201999356, 400.0]        [-0.02675958973923149, 500.0]        [-0.028379414593232462, 600.0]        [-0.03370378275459231, 800.0]        [-0.03703422520717952, 1000.0]        [-0.026128836317973934, 1500.0]
BensonThermodynamicBase(R20C4H9):        H298:-0.022548974901363938        S298:5.345995093059577E-4        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.017602399588673604, 300.0]        [0.01937378576838351, 400.0]        [0.02615139391210215, 500.0]        [0.0342759016504255, 600.0]        [0.05062160543213173, 800.0]        [0.07011621365911175, 1000.0]        [0.13318360742604735, 1500.0]
BensonThermodynamicBase(R15C2H5O):        H298:-0.01305611988441828        S298:-0.04988073912848226        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.06066743785075125, 300.0]        [-0.06690980460191003, 400.0]        [-0.07253448169162459, 500.0]        [-0.07936754963266685, 600.0]        [-0.09720211572797062, 800.0]        [-0.11495092999409394, 1000.0]        [-0.1457296093477589, 1500.0]
BensonThermodynamicBase(R29C4H9O2U):        H298:-0.0131093522113053        S298:-0.05007032469266998        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.04109924902284745, 300.0]        [-0.05032706249596071, 400.0]        [-0.05323322922241032, 500.0]        [-0.056664288536845055, 600.0]        [-0.07103117830120481, 800.0]        [-0.08595859387601691, 1000.0]        [-0.09685723626769685, 1500.0]
BensonThermodynamicBase(R45C4H9O4UP):        H298:-0.011345914374948139        S298:-0.026683102916387702        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.024808836501984906, 300.0]        [-0.03193032994302342, 400.0]        [-0.029742090840534075, 500.0]        [-0.026932361902669153, 600.0]        [-0.029136884427612704, 800.0]        [-0.032775939491176125, 1000.0]        [-0.021408162434750196, 1500.0]
BensonThermodynamicBase(R19C3H7):        H298:0.010070496796869558        S298:0.006323570217915428        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.010412556218919346, 300.0]        [0.014820282481857764, 400.0]        [0.02195125109982715, 500.0]        [0.02979018099422198, 600.0]        [0.04584491118144859, 800.0]        [0.06603759948948873, 1000.0]        [0.13247821454521513, 1500.0]
BensonThermodynamicBase(R34C4H9O2P):        H298:-0.007756716008693137        S298:0.014465615399924614        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-8.479776812697572E-4, 300.0]        [-0.008329693228649515, 400.0]        [-0.010376548779438066, 500.0]        [-0.01164179326006438, 600.0]        [-0.0168319008802548, 800.0]        [-0.021355331656987716, 1000.0]        [-0.01936056136420847, 1500.0]
BensonThermodynamicBase(R38C3H7O4UP):        H298:-0.007287834118671451        S298:-0.027180635800031733        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.028938006556523354, 300.0]        [-0.035534307358165124, 400.0]        [-0.03437254971659245, 500.0]        [-0.03268494009887353, 600.0]        [-0.03603994548383438, 800.0]        [-0.040861741471557717, 1000.0]        [-0.03911223008651181, 1500.0]
BensonThermodynamicBase(R7CH3O):        H298:0.007132219688093731        S298:-0.07340722844793506        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.10362544568545189, 300.0]        [-0.09866601300415356, 400.0]        [-0.10551915422589032, 500.0]        [-0.11559102647872188, 600.0]        [-0.13384973849313878, 800.0]        [-0.1478929800473308, 1000.0]        [-0.19426742007024, 1500.0]
BensonThermodynamicBase(R41C4H9O4UP):        H298:-0.0064510218365247        S298:-0.01805588958698483        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.02488955576896705, 300.0]        [-0.0306348182704456, 400.0]        [-0.02907905797945472, 500.0]        [-0.027116666383033308, 600.0]        [-0.02961732800747577, 800.0]        [-0.033341962473124286, 1000.0]        [-0.027937231455795936, 1500.0]
